N_x,N_y,method,time_ms
512,64,direct,0.861098
512,64,fft,1.09048
512,128,direct,2.19786
512,128,fft,0.980426
512,256,direct,3.14581
512,256,fft,1.26218
512,512,direct,5.07255
512,512,fft,1.0262
512,1024,direct,14.0424
512,1024,fft,3.47712
512,2048,direct,37.6932
512,2048,fft,9.14553
512,4096,direct,65.5817
512,4096,fft,11.1662
64,64,direct_same,0.115031
64,64,fft_same,0.090516
128,128,direct_same,0.320645
128,128,fft_same,0.211966
256,256,direct_same,1.24602
256,256,fft_same,0.70607
512,512,direct_same,7.38685
512,512,fft_same,1.01546
1024,1024,direct_same,22.2259
1024,1024,fft_same,2.10682
2048,2048,direct_same,102.957
2048,2048,fft_same,7.33766
4096,4096,direct_same,365.177
4096,4096,fft_same,10.0189
